Reporting Area,MMWR Year,MMWR Week,"Malaria, Current week","Malaria, Current week, flag","Malaria, Previous 52 weeks Max†","Malaria, Previous 52 weeks Max†, flag","Malaria, Cum 2019†","Malaria, Cum 2019†, flag","Malaria, Cum 2018†","Malaria, Cum 2018†, flag","Measles§, Idigenousis, Current week","Measles§, Idigenousis, Current week, flag","Measles§, Idigenousis, Previous 52 weeks Max†","Measles§, Idigenousis, Previous 52 weeks Max†, flag","Measles§, Idigenousis, Cum 2019†","Measles§, Idigenousis, Cum 2019†, flag","Measles§, Idigenousis, Cum 2018†","Measles§, Idigenousis, Cum 2018†, flag","Measles§, Imported, Current week","Measles§, Imported, Current week, flag","Measles§, Imported, Previous 52 weeks Max†","Measles§, Imported, Previous 52 weeks Max†, flag","Measles§, Imported, Cum 2019†","Measles§, Imported, Cum 2019†, flag","Measles§, Imported, Cum 2018†","Measles§, Imported, Cum 2018†, flag",Location 1,Location 2,Reporting Area Sort
KENTUCKY,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"KENTUCKY
(37.526683, -85.290484)",,20190840
ARIZONA,2019,8,,-,3,,3,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"ARIZONA
(34.293239, -111.664616)",,20190849
CONNECTICUT,2019,8,,-,1,,,-,1,,,-,2,,2,,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20190803
NORTH CAROLINA,2019,8,,-,4,,5,,5,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190834
MINNESOTA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20190823
EAST NORTH CENTRAL,2019,8,,-,7,,8,,19,,,-,1,,2,,,-,,-,4,,1,,2,,,EAST NORTH CENTRAL,20190814
OREGON,2019,8,,-,2,,,-,2,,,-,3,,3,,2,,,-,1,,2,,,-,"OREGON
(43.940449, -120.605279)",,20190861
OKLAHOMA,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"OKLAHOMA
(35.583449, -97.508297)",,20190846
MISSISSIPPI,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20190841
NORTH DAKOTA,2019,8,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190826
VIRGINIA,2019,8,1,,5,,10,,4,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20190836
US TERRITORIES,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20190863
AMERICAN SAMOA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190864
U.S. VIRGIN ISLANDS,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190868
MAINE,2019,8,1,,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20190804
LOUISIANA,2019,8,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190845
ARKANSAS,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20190844
NEVADA,2019,8,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20190853
NON-US RESIDENTS,2019,8,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190869
EAST SOUTH CENTRAL,2019,8,,-,4,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,,EAST SOUTH CENTRAL,20190838
NEW JERSEY,2019,8,,-,6,,5,,11,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20190810
GEORGIA,2019,8,,-,5,,,-,7,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190832
VERMONT,2019,8,,-,1,,1,,,-,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190808
US RESIDENTS,2019,8,3,,55,,128,,160,,,-,13,,46,,9,,2,,18,,31,,8,,,US RESIDENTS,20190801
IOWA,2019,8,,-,2,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190821
MASSACHUSETTS,2019,8,,-,4,,7,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20190805
COLORADO,2019,8,,-,3,,3,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20190850
NEW HAMPSHIRE,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190806
WEST VIRGINIA,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20190837
SOUTH DAKOTA,2019,8,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190827
INDIANA,2019,8,,-,1,,,-,3,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20190816
MIDDLE ATLANTIC,2019,8,1,,24,,40,,42,,,-,11,,32,,,-,,-,16,,22,,2,,,MIDDLE ATLANTIC,20190809
WEST SOUTH CENTRAL,2019,8,,-,5,,2,,4,,,-,5,,7,,5,,,-,1,,,-,3,,,WEST SOUTH CENTRAL,20190843
HAWAII,2019,8,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190860
ILLINOIS,2019,8,,-,4,,1,,5,,,-,1,,2,,,-,,-,1,,1,,1,,"ILLINOIS
(40.124144, -89.148632)",,20190815
PENNSYLVANIA,2019,8,,-,8,,11,,12,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",,20190813
NEBRASKA,2019,8,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190825
DELAWARE,2019,8,,-,3,,5,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20190829
NEW YORK,2019,8,1,,4,,6,,6,,,-,1,,1,,,-,,-,14,,16,,,-,"NEW YORK
(42.921241, -75.59655)",,20190811
PUERTO RICO,2019,8,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190867
MICHIGAN,2019,8,,-,3,,1,,5,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190817
NEW ENGLAND,2019,8,1,,5,,9,,6,,,-,2,,2,,,-,,-,1,,,-,,-,,NEW ENGLAND,20190802
KANSAS,2019,8,,-,2,,1,,2,,,-,5,,,-,2,,,-,0,,,-,1,,"KANSAS
(38.484729, -98.38018)",,20190822
AMERICAN SAMOA,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20190964
US RESIDENTS,2019,9,4,,54,,142,,173,,,-,16,,64,,10,,9,,18,,43,,8,,,US RESIDENTS,20190901
NEW YORK CITY,2019,9,2,,11,,20,,13,,,-,13,,47,,,-,,-,3,,7,,,-,,NEW YORK CITY,20190912
GEORGIA,2019,9,,-,6,,,-,8,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20190932
WEST NORTH CENTRAL,2019,9,,-,5,,5,,9,,,-,5,,,-,3,,,-,6,,,-,1,,,WEST NORTH CENTRAL,20190920
PACIFIC,2019,9,,-,8,,12,,13,,,-,3,,4,,2,,,-,3,,6,,,-,,PACIFIC,20190957
KANSAS,2019,9,,-,2,,1,,2,,,-,5,,,-,3,,,-,0,,,-,1,,"KANSAS
(38.484729, -98.38018)",,20190922
MONTANA,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20190952
ILLINOIS,2019,9,,-,5,,5,,6,,,-,2,,3,,,-,,-,1,,1,,1,,"ILLINOIS
(40.124144, -89.148632)",,20190915
UTAH,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20190955
TEXAS,2019,9,,-,5,,1,,3,,,-,5,,7,,5,,,-,1,,1,,1,,"TEXAS
(31.447238, -99.317341)",,20190947
SOUTH CAROLINA,2019,9,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20190935
PUERTO RICO,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20190967
NORTH DAKOTA,2019,9,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20190926
SOUTH ATLANTIC,2019,9,1,,20,,49,,64,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC,20190928
NORTHERN MARIANA ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20190965
U.S. VIRGIN ISLANDS,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20190968
ALABAMA,2019,9,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20190939
NON-US RESIDENTS,2019,9,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20190969
NORTH CAROLINA,2019,9,,-,4,,5,,5,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20190934
MICHIGAN,2019,9,,-,3,,1,,6,,,-,0,,,-,,-,,-,4,,,-,,-,"MICHIGAN
(44.874798, -85.730977)",,20190917
NEW MEXICO,2019,9,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20190954
NEBRASKA,2019,9,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20190925
DISTRICT OF COLUMBIA,2019,9,,-,2,,3,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20190930
CALIFORNIA,2019,9,,-,5,,9,,6,,,-,3,,,-,,-,,-,2,,4,,,-,"CALIFORNIA
(37.211164, -119.662127)",,20190959
GUAM,2019,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20190966
TOTAL,2019,9,4,,54,,142,,173,,,-,16,,64,,10,,9,,18,,43,,8,,,TOTAL,20190970
OHIO,2019,9,,-,4,,6,,6,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20190918
COLORADO,2019,9,,-,3,,3,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20190950
LOUISIANA,2019,9,,-,1,,1,,2,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20190945
VERMONT,2019,9,,-,1,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20190908
NEW YORK,2019,9,,-,4,,6,,6,,,-,1,,1,,,-,9,,14,,25,,,-,"NEW YORK
(42.921241, -75.59655)",,20190911
HAWAII,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20190960
NEW HAMPSHIRE,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20190906
RHODE ISLAND,2019,9,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20190907
WEST SOUTH CENTRAL,2019,9,,-,5,,2,,5,,,-,5,,7,,5,,,-,1,,1,,3,,,WEST SOUTH CENTRAL,20190943
WYOMING,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20190956
WASHINGTON,2019,9,,-,4,,2,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20190962
SOUTH DAKOTA,2019,9,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20190927
IOWA,2019,9,,-,2,,1,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20190921
OKLAHOMA,2019,9,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"OKLAHOMA
(35.583449, -97.508297)",,20190946
NON-US RESIDENTS,2019,10,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191069
CALIFORNIA,2019,10,,-,5,,10,,9,,,-,3,,,-,,-,,-,2,,6,,1,,"CALIFORNIA
(37.211164, -119.662127)",,20191059
ALASKA,2019,10,,-,1,,1,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191058
MINNESOTA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191023
KENTUCKY,2019,10,,-,1,,,-,,-,1,,0,,1,,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20191040
VERMONT,2019,10,,-,1,,1,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"VERMONT
(44.075252, -72.662695)",,20191008
DELAWARE,2019,10,,-,3,,5,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191029
SOUTH DAKOTA,2019,10,,-,2,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"SOUTH DAKOTA
(44.43614, -100.230491)",,20191027
NORTH CAROLINA,2019,10,,-,4,,5,,6,,,-,1,,,-,,-,,-,1,,,-,,-,"NORTH CAROLINA
(35.52603, -79.130883)",,20191034
IOWA,2019,10,,-,2,,2,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191021
MARYLAND,2019,10,,-,9,,24,,38,,,-,0,,,-,,-,,-,1,,,-,,-,"MARYLAND
(38.946466, -76.687282)",,20191033
TOTAL,2019,10,6,,54,,164,,191,,2,,20,,83,,15,,9,,44,,57,,12,,,TOTAL,20191070
SOUTH CAROLINA,2019,10,,-,0,,,-,,-,,-,2,,,-,,-,,-,1,,,-,,-,"SOUTH CAROLINA
(33.878572, -80.864614)",,20191035
WEST NORTH CENTRAL,2019,10,,-,5,,7,,9,,,-,5,,,-,8,,,-,6,,,-,1,,,WEST NORTH CENTRAL,20191020
NEW MEXICO,2019,10,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191054
INDIANA,2019,10,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20191016
CONNECTICUT,2019,10,,-,1,,,-,1,,,-,2,,2,,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191003
WEST VIRGINIA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WEST VIRGINIA
(38.642579, -80.613729)",,20191037
NEW YORK,2019,10,,-,4,,6,,7,,,-,1,,1,,,-,8,,42,,33,,1,,"NEW YORK
(42.921241, -75.59655)",,20191011
GUAM,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191066
KANSAS,2019,10,,-,2,,2,,2,,,-,5,,,-,8,,,-,0,,,-,1,,"KANSAS
(38.484729, -98.38018)",,20191022
GEORGIA,2019,10,,-,6,,1,,9,,,-,0,,,-,,-,,-,0,,,-,,-,"GEORGIA
(32.638481, -83.426574)",,20191032
TEXAS,2019,10,,-,5,,1,,3,,,-,5,,7,,5,,,-,1,,1,,1,,"TEXAS
(31.447238, -99.317341)",,20191047
WYOMING,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WYOMING
(42.999627, -107.55145)",,20191056
MONTANA,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191052
EAST NORTH CENTRAL,2019,10,3,,8,,17,,24,,,-,2,,3,,,-,,-,4,,1,,3,,,EAST NORTH CENTRAL,20191014
NEW HAMPSHIRE,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NEW HAMPSHIRE
(43.680429, -71.57139)",,20191006
TENNESSEE,2019,10,,-,2,,2,,1,,,-,0,,,-,,-,,-,1,,,-,,-,"TENNESSEE
(35.842998, -86.343226)",,20191042
MICHIGAN,2019,10,,-,3,,1,,6,,,-,0,,,-,,-,,-,4,,,-,1,,"MICHIGAN
(44.874798, -85.730977)",,20191017
HAWAII,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"HAWAII
(21.361013, -157.854309)",,20191060
NORTH DAKOTA,2019,10,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NORTH DAKOTA
(47.446305, -100.46931)",,20191026
MAINE,2019,10,,-,1,,1,,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MAINE
(45.117911, -69.06137)",,20191004
SOUTH ATLANTIC,2019,10,2,,20,,54,,71,,,-,3,,,-,,-,,-,3,,,-,,-,,SOUTH ATLANTIC,20191028
OREGON,2019,10,,-,2,,,-,2,,,-,3,,4,,2,,,-,1,,2,,,-,"OREGON
(43.940449, -120.605279)",,20191061
NEW JERSEY,2019,10,,-,6,,9,,13,,,-,0,,,-,,-,,-,6,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191010
AMERICAN SAMOA,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191064
US TERRITORIES,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20191063
LOUISIANA,2019,10,,-,1,,1,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"LOUISIANA
(30.921314, -91.840238)",,20191045
EAST SOUTH CENTRAL,2019,10,,-,4,,2,,2,,1,,0,,1,,,-,,-,1,,1,,,-,,EAST SOUTH CENTRAL,20191038
NEVADA,2019,10,,-,2,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"NEVADA
(39.283294, -114.916992)",,20191053
PENNSYLVANIA,2019,10,1,,8,,12,,13,,,-,0,,,-,,-,,-,1,,1,,2,,"PENNSYLVANIA
(40.896694, -77.838886)",,20191013
PACIFIC,2019,10,,-,8,,16,,16,,,-,3,,4,,2,,,-,3,,8,,1,,,PACIFIC,20191057
ALABAMA,2019,10,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191039
MIDDLE ATLANTIC,2019,10,1,,24,,48,,46,,1,,17,,66,,,-,8,,44,,44,,4,,,MIDDLE ATLANTIC,20191009
ARKANSAS,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,1,,"ARKANSAS
(34.899825, -92.439162)",,20191044
MOUNTAIN,2019,10,,-,4,,8,,9,,,-,0,,,-,,-,1,,1,,2,,,-,,MOUNTAIN,20191048
U.S. VIRGIN ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191068
IDAHO,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191051
WASHINGTON,2019,10,,-,4,,5,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"WASHINGTON
(47.411715, -120.592492)",,20191062
COLORADO,2019,10,,-,3,,3,,3,,,-,0,,,-,,-,,-,1,,1,,,-,"COLORADO
(38.998552, -105.547832)",,20191050
UTAH,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"UTAH
(39.323779, -111.678222)",,20191055
MISSOURI,2019,10,,-,3,,2,,2,,,-,0,,,-,,-,,-,6,,,-,,-,"MISSOURI
(38.3675, -92.477244)",,20191024
ILLINOIS,2019,10,,-,5,,7,,7,,,-,2,,3,,,-,,-,1,,1,,1,,"ILLINOIS
(40.124144, -89.148632)",,20191015
RHODE ISLAND,2019,10,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"RHODE ISLAND
(41.572574, -71.534637)",,20191007
NORTHERN MARIANA ISLANDS,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191065
NEBRASKA,2019,10,,-,2,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEBRASKA
(41.527099, -99.810595)",,20191025
WISCONSIN,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"WISCONSIN
(44.639954, -89.732969)",,20191019
NEW ENGLAND,2019,10,,-,5,,10,,8,,,-,2,,2,,,-,,-,1,,,-,,-,,NEW ENGLAND,20191002
DISTRICT OF COLUMBIA,2019,10,,-,2,,4,,3,,,-,0,,,-,,-,,-,1,,,-,,-,"DISTRICT OF COLUMBIA
(38.904785, -77.016275)",,20191030
VIRGINIA,2019,10,2,,5,,15,,5,,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191036
PUERTO RICO,2019,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191067
ARIZONA,2019,10,,-,3,,5,,5,,,-,0,,,-,,-,1,,0,,1,,,-,"ARIZONA
(34.293239, -111.664616)",,20191049
WEST SOUTH CENTRAL,2019,10,,-,5,,2,,6,,,-,5,,7,,5,,,-,1,,1,,3,,,WEST SOUTH CENTRAL,20191043
OKLAHOMA,2019,10,,-,1,,,-,,-,,-,0,,,-,,-,,-,1,,,-,1,,"OKLAHOMA
(35.583449, -97.508297)",,20191046
OHIO,2019,10,3,,4,,9,,7,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191018
US RESIDENTS,2019,10,6,,54,,164,,191,,2,,20,,83,,15,,9,,44,,57,,12,,,US RESIDENTS,20191001
NEW YORK CITY,2019,10,,-,11,,21,,13,,1,,17,,65,,,-,,-,6,,10,,1,,,NEW YORK CITY,20191012
MISSISSIPPI,2019,10,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"MISSISSIPPI
(32.713378, -89.65344)",,20191041
MASSACHUSETTS,2019,10,,-,4,,8,,4,,,-,0,,,-,,-,,-,1,,,-,,-,"MASSACHUSETTS
(42.151077, -71.481104)",,20191005
FLORIDA,2019,10,,-,4,,,-,6,,,-,3,,,-,,-,,-,2,,,-,,-,"FLORIDA
(28.260731, -82.420978)",,20191031
AMERICAN SAMOA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20191164
NON-US RESIDENTS,2019,11,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,-,,NC,,-,,NP,,NON-US RESIDENTS,20191169
INDIANA,2019,11,,-,1,,,-,4,,,-,0,,,-,,-,,-,0,,,-,1,,"INDIANA
(39.919991, -86.2818)",,20191116
TOTAL,2019,11,9,,54,,182,,206,,2,,20,,87,,20,,5,,45,,63,,14,,,TOTAL,20191170
IDAHO,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"IDAHO
(44.389073, -114.659366)",,20191151
IOWA,2019,11,,-,2,,2,,3,,,-,0,,,-,,-,,-,0,,,-,,-,"IOWA
(42.074659, -93.500061)",,20191121
MONTANA,2019,11,,-,1,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"MONTANA
(47.033521, -109.645127)",,20191152
CONNECTICUT,2019,11,,-,1,,,-,1,,,-,2,,2,,,-,,-,1,,,-,,-,"CONNECTICUT
(41.575155, -72.738288)",,20191103
DELAWARE,2019,11,,-,3,,5,,4,,,-,0,,,-,,-,,-,0,,,-,,-,"DELAWARE
(38.994926, -75.452394)",,20191129
GUAM,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"GUAM
(13.3532, 144.653198)",,20191166
NEW JERSEY,2019,11,,-,6,,11,,13,,,-,6,,,-,,-,,-,1,,,-,,-,"NEW JERSEY
(40.110253, -74.655514)",,20191110
NORTHERN MARIANA ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"NORTHERN MARIANA ISLANDS
(15.1834, 145.725693)",,20191165
MOUNTAIN,2019,11,,-,4,,8,,11,,,-,0,,,-,,-,,-,1,,2,,,-,,MOUNTAIN,20191148
U.S. VIRGIN ISLANDS,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"VIRGIN ISLANDS
(18.060868, -64.840836)",,20191168
MINNESOTA,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,1,,,-,,-,"MINNESOTA
(46.349153, -94.198308)",,20191123
ALABAMA,2019,11,,-,3,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"ALABAMA
(32.756889, -86.844516)",,20191139
US RESIDENTS,2019,11,9,,54,,182,,206,,2,,20,,87,,20,,5,,45,,63,,14,,,US RESIDENTS,20191101
OHIO,2019,11,2,,4,,11,,7,,,-,0,,,-,,-,,-,0,,,-,,-,"OHIO
(40.415534, -82.70936)",,20191118
NEW ENGLAND,2019,11,,-,5,,11,,8,,,-,2,,2,,,-,,-,1,,,-,,-,,NEW ENGLAND,20191102
ALASKA,2019,11,1,,1,,2,,2,,,-,0,,,-,,-,,-,0,,,-,,-,"ALASKA
(63.631126, -151.631889)",,20191158
EAST SOUTH CENTRAL,2019,11,,-,4,,2,,2,,,-,1,,1,,,-,,-,1,,1,,1,,,EAST SOUTH CENTRAL,20191138
VIRGINIA,2019,11,,-,5,,16,,6,,,-,0,,,-,,-,,-,1,,,-,,-,"VIRGINIA
(37.510861, -78.666382)",,20191136
NEW MEXICO,2019,11,,-,1,,,-,1,,,-,0,,,-,,-,,-,0,,,-,,-,"NEW MEXICO
(34.421369, -106.108388)",,20191154
PUERTO RICO,2019,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,"PUERTO RICO
(18.215692, -66.414655)",,20191167
KENTUCKY,2019,11,,-,1,,,-,,-,,-,1,,1,,,-,,-,1,,1,,,-,"KENTUCKY
(37.526683, -85.290484)",,20191140
WEST SOUTH CENTRAL,2019,11,,-,5,,2,,6,,,-,5,,7,,5,,,-,1,,1,,3,,,WEST SOUTH CENTRAL,20191143
